dataset_id,split,split_seed,task_type,policy,delta_mae,delta_failure_rate
moleculeace_CHEMBL1862_Ki,random,20260811,regression,mara_axis,-0.0113028920602401,0.0625
moleculeace_CHEMBL1862_Ki,random,20260811,regression,mismatched_axis,-0.026413090316795,0.03125
moleculeace_CHEMBL1862_Ki,random,20260811,regression,nearest_neighbor,-0.0192659715734934,0.03125
moleculeace_CHEMBL1862_Ki,random,20260811,regression,random_axis,-0.0161161893241032,0.034375
moleculeace_CHEMBL1862_Ki,random,20260811,regression,uncertainty_pool,0.0025718300435687,0.046875
moleculeace_CHEMBL1862_Ki,random,20260812,regression,mara_axis,-0.0152675611801288,0.046875
moleculeace_CHEMBL1862_Ki,random,20260812,regression,mismatched_axis,0.0006818572268825,0.0
moleculeace_CHEMBL1862_Ki,random,20260812,regression,nearest_neighbor,-0.0093776435220395,0.046875
moleculeace_CHEMBL1862_Ki,random,20260812,regression,random_axis,-0.00830083648763553,0.0140625
moleculeace_CHEMBL1862_Ki,random,20260812,regression,uncertainty_pool,-0.0063830776960874,0.0
moleculeace_CHEMBL1862_Ki,random,20260813,regression,mara_axis,0.0379193444046024,0.0
moleculeace_CHEMBL1862_Ki,random,20260813,regression,mismatched_axis,0.0288714835900658,0.03125
moleculeace_CHEMBL1862_Ki,random,20260813,regression,nearest_neighbor,0.0376619764179629,0.0
moleculeace_CHEMBL1862_Ki,random,20260813,regression,random_axis,0.01683122090076983,0.0015625
moleculeace_CHEMBL1862_Ki,random,20260813,regression,uncertainty_pool,0.0078972544702584,-0.015625
moleculeace_CHEMBL1862_Ki,random,20260814,regression,mara_axis,-0.0091102123428153,0.015625
moleculeace_CHEMBL1862_Ki,random,20260814,regression,mismatched_axis,-0.0113989220898996,-0.03125
moleculeace_CHEMBL1862_Ki,random,20260814,regression,nearest_neighbor,-0.0047566137179211,0.015625
moleculeace_CHEMBL1862_Ki,random,20260814,regression,random_axis,-0.01501325484073513,0.0
moleculeace_CHEMBL1862_Ki,random,20260814,regression,uncertainty_pool,0.0010118900749667,0.03125
moleculeace_CHEMBL1862_Ki,random,20260815,regression,mara_axis,0.0014408154744124,0.0
moleculeace_CHEMBL1862_Ki,random,20260815,regression,mismatched_axis,0.0078847952437888,0.015625
moleculeace_CHEMBL1862_Ki,random,20260815,regression,nearest_neighbor,-0.0031505185980736,-0.03125
moleculeace_CHEMBL1862_Ki,random,20260815,regression,random_axis,0.00044528115423011024,-0.0046875
moleculeace_CHEMBL1862_Ki,random,20260815,regression,uncertainty_pool,-0.0056151783491592,0.0
moleculeace_CHEMBL1862_Ki,scaffold,20260811,regression,mara_axis,0.0438625359428637,0.03125
moleculeace_CHEMBL1862_Ki,scaffold,20260811,regression,mismatched_axis,0.0245263976277255,0.015625
moleculeace_CHEMBL1862_Ki,scaffold,20260811,regression,nearest_neighbor,0.0257944251125081,0.015625
moleculeace_CHEMBL1862_Ki,scaffold,20260811,regression,random_axis,0.013061446008273489,0.0203125
moleculeace_CHEMBL1862_Ki,scaffold,20260811,regression,uncertainty_pool,0.0111559864050148,0.0
moleculeace_CHEMBL1862_Ki,scaffold,20260812,regression,mara_axis,0.0260417177143461,-0.046875
moleculeace_CHEMBL1862_Ki,scaffold,20260812,regression,mismatched_axis,0.0385147794346835,0.0
moleculeace_CHEMBL1862_Ki,scaffold,20260812,regression,nearest_neighbor,0.0429423325191385,0.0
moleculeace_CHEMBL1862_Ki,scaffold,20260812,regression,random_axis,0.01208339610200969,-0.015625
moleculeace_CHEMBL1862_Ki,scaffold,20260812,regression,uncertainty_pool,0.0237213523923397,-0.046875
moleculeace_CHEMBL1862_Ki,scaffold,20260813,regression,mara_axis,-0.0027467264595074,0.046875
moleculeace_CHEMBL1862_Ki,scaffold,20260813,regression,mismatched_axis,0.0440997441274868,0.03125
moleculeace_CHEMBL1862_Ki,scaffold,20260813,regression,nearest_neighbor,0.021912419421283,0.046875
moleculeace_CHEMBL1862_Ki,scaffold,20260813,regression,random_axis,0.02008868064626959,0.0359375
moleculeace_CHEMBL1862_Ki,scaffold,20260813,regression,uncertainty_pool,0.0264727077732928,0.015625
moleculeace_CHEMBL1862_Ki,scaffold,20260814,regression,mara_axis,0.0244493158464024,0.046875
moleculeace_CHEMBL1862_Ki,scaffold,20260814,regression,mismatched_axis,0.0063894593285604,0.03125
moleculeace_CHEMBL1862_Ki,scaffold,20260814,regression,nearest_neighbor,0.0079968054536343,0.03125
moleculeace_CHEMBL1862_Ki,scaffold,20260814,regression,random_axis,0.0013830787543425403,0.0203125
moleculeace_CHEMBL1862_Ki,scaffold,20260814,regression,uncertainty_pool,0.0154581696616493,0.03125
moleculeace_CHEMBL1862_Ki,scaffold,20260815,regression,mara_axis,0.0572846579212826,0.015625
moleculeace_CHEMBL1862_Ki,scaffold,20260815,regression,mismatched_axis,0.048142443734101,0.03125
moleculeace_CHEMBL1862_Ki,scaffold,20260815,regression,nearest_neighbor,0.0601759174587847,0.015625
moleculeace_CHEMBL1862_Ki,scaffold,20260815,regression,random_axis,0.01552558207910767,0.034375
moleculeace_CHEMBL1862_Ki,scaffold,20260815,regression,uncertainty_pool,0.0349922252257426,0.03125
moleculeace_CHEMBL1871_Ki,random,20260811,regression,mara_axis,0.0390489725533382,0.109375
