ablation,method,case_n,dataset_n,seed_n,failure_auroc_mean,failure_auroc_std,failure_auroc_n,failure_auroc_formatted,failure_auprc_mean,failure_auprc_std,failure_auprc_n,failure_auprc_formatted,risk_ece_10bin_mean,risk_ece_10bin_std,risk_ece_10bin_n,risk_ece_10bin_formatted,risk_nll_mean,risk_nll_std,risk_nll_n,risk_nll_formatted,risk_brier_mean,risk_brier_std,risk_brier_n,risk_brier_formatted,risk_coverage_auc_mean,risk_coverage_auc_std,risk_coverage_auc_n,risk_coverage_auc_formatted,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_80_n,selective_risk_at_80_formatted,delta_vs_full_failure_auroc,improvement_vs_full_failure_auroc,delta_vs_full_failure_auprc,improvement_vs_full_failure_auprc,delta_vs_full_risk_ece_10bin,improvement_vs_full_risk_ece_10bin,delta_vs_full_risk_nll,improvement_vs_full_risk_nll,delta_vs_full_risk_brier,improvement_vs_full_risk_brier,delta_vs_full_risk_coverage_auc,improvement_vs_full_risk_coverage_auc,delta_vs_full_selective_risk_at_80,improvement_vs_full_selective_risk_at_80
full,risk_mara,75,5,5,0.6090832300051326,0.07340980107465615,75,0.6091 +/- 0.0734,0.3060562088196366,0.08769178832111281,75,0.3061 +/- 0.0877,0.2749334707285367,0.035879390835458096,75,0.2749 +/- 0.0359,0.6720412789785237,0.041187800943097264,75,0.6720 +/- 0.0412,0.2388022069310164,0.01860772514416005,75,0.2388 +/- 0.0186,0.16261054782633236,0.03535553555163903,75,0.1626 +/- 0.0354,0.18417024259776688,0.02718913335906782,75,0.1842 +/- 0.0272,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
full,risk_mara_rank_fusion,75,5,5,0.6274861035422439,0.07872466713498553,75,0.6275 +/- 0.0787,0.31443202412388266,0.09028050466337917,75,0.3144 +/- 0.0903,0.03948511580179936,0.023792185441269164,75,0.0395 +/- 0.0238,0.49480520184473403,0.0382163646471199,75,0.4948 +/- 0.0382,0.1596293556943471,0.015120093919253218,75,0.1596 +/- 0.0151,0.1526617411876548,0.03728011666324409,75,0.1527 +/- 0.0373,0.1820322717298116,0.02819620375846949,75,0.1820 +/- 0.0282,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
noA1,risk_mara,75,5,5,0.5616718407683845,0.05128043038517309,75,0.5617 +/- 0.0513,0.2549907991588416,0.04508167099665838,75,0.2550 +/- 0.0451,0.2832482837982559,0.033892586586351726,75,0.2832 +/- 0.0339,0.683651163910537,0.02286998911103613,75,0.6837 +/- 0.0229,0.24536434492823142,0.010823857811795663,75,0.2454 +/- 0.0108,0.18396184716672995,0.037170230831736324,75,0.1840 +/- 0.0372,0.1961144366096001,0.03025508615395617,75,0.1961 +/- 0.0303,-0.04741138923674815,-0.04741138923674815,-0.05106540966079498,-0.05106540966079498,0.008314813069719207,-0.008314813069719207,0.011609884932013315,-0.011609884932013315,0.0065621379972150284,-0.0065621379972150284,0.02135129934039759,-0.02135129934039759,0.01194419401183322,-0.01194419401183322
noA1,risk_mara_rank_fusion,75,5,5,0.5981831100005527,0.06726608231221516,75,0.5982 +/- 0.0673,0.2892591975908224,0.0680783134349586,75,0.2893 +/- 0.0681,0.035939209058368296,0.02039810452869505,75,0.0359 +/- 0.0204,0.502807711242338,0.04071012770985691,75,0.5028 +/- 0.0407,0.16217558279496036,0.01653564698711939,75,0.1622 +/- 0.0165,0.16615576148948988,0.03984229990165137,75,0.1662 +/- 0.0398,0.18930823417255876,0.02801749646734573,75,0.1893 +/- 0.0280,-0.02930299354169119,-0.02930299354169119,-0.025172826533060244,-0.025172826533060244,-0.003545906743431061,0.003545906743431061,0.008002509397603996,-0.008002509397603996,0.002546227100613252,-0.002546227100613252,0.01349402030183508,-0.01349402030183508,0.007275962442747169,-0.007275962442747169
noA2,risk_mara,75,5,5,0.6067336146027099,0.07629668890848733,75,0.6067 +/- 0.0763,0.3014052575393003,0.09042755242376402,75,0.3014 +/- 0.0904,0.2745176212177831,0.035796910798188995,75,0.2745 +/- 0.0358,0.671417552183411,0.04016369735092234,75,0.6714 +/- 0.0402,0.23853593539967974,0.01806652070484525,75,0.2385 +/- 0.0181,0.16320066922416301,0.036119180155771945,75,0.1632 +/- 0.0361,0.18608449365313753,0.028575043262332102,75,0.1861 +/- 0.0286,-0.0023496154024227334,-0.0023496154024227334,-0.0046509512803362685,-0.0046509512803362685,-0.00041584951075357424,0.00041584951075357424,-0.000623726795112689,0.000623726795112689,-0.0002662715313366537,0.0002662715313366537,0.0005901213978306563,-0.0005901213978306563,0.0019142510553706582,-0.0019142510553706582
noA2,risk_mara_rank_fusion,75,5,5,0.622111608600324,0.08340520519323126,75,0.6221 +/- 0.0834,0.31088144276353596,0.09232434632586914,75,0.3109 +/- 0.0923,0.04203286581107576,0.023332371594914383,75,0.0420 +/- 0.0233,0.49624125824234644,0.03875826390168892,75,0.4962 +/- 0.0388,0.16006561496097949,0.015236219827594252,75,0.1601 +/- 0.0152,0.15486751739486745,0.03901202164364121,75,0.1549 +/- 0.0390,0.1835043026395233,0.02870339664265962,75,0.1835 +/- 0.0287,-0.005374494941919883,-0.005374494941919883,-0.003550581360346694,-0.003550581360346694,0.0025477500092764005,-0.0025477500092764005,0.0014360563976124063,-0.0014360563976124063,0.00043625926663237724,-0.00043625926663237724,0.0022057762072126563,-0.0022057762072126563,0.001472030909711708,-0.001472030909711708
noA3,risk_mara,75,5,5,0.6095504151201738,0.07256073143489204,75,0.6096 +/- 0.0726,0.3061744478163326,0.08723302217377696,75,0.3062 +/- 0.0872,0.27518015100912346,0.03610897148919135,75,0.2752 +/- 0.0361,0.6722442078980886,0.04131418965352791,75,0.6722 +/- 0.0413,0.2389034976193472,0.01868029045854248,75,0.2389 +/- 0.0187,0.16228977161198013,0.035037817829857064,75,0.1623 +/- 0.0350,0.18434560239135017,0.027457646972852676,75,0.1843 +/- 0.0275,0.0004671851150411799,0.0004671851150411799,0.00011823899669599625,0.00011823899669599625,0.00024668028058677516,-0.00024668028058677516,0.0002029289195648598,-0.0002029289195648598,0.0001012906883308129,-0.0001012906883308129,-0.00032077621435222525,0.00032077621435222525,0.00017535979358329623,-0.00017535979358329623
noA3,risk_mara_rank_fusion,75,5,5,0.6278162956882993,0.07811848796980458,75,0.6278 +/- 0.0781,0.3142090482186815,0.09031321509213763,75,0.3142 +/- 0.0903,0.03912824727756704,0.023897386413036736,75,0.0391 +/- 0.0239,0.4946925340784222,0.03816795333157438,75,0.4947 +/- 0.0382,0.15960119469632908,0.015121062696769933,75,0.1596 +/- 0.0151,0.1524639964787296,0.03704785660971076,75,0.1525 +/- 0.0370,0.18214927790107294,0.028432240482772025,75,0.1821 +/- 0.0284,0.00033019214605545244,0.00033019214605545244,-0.0002229759052011504,-0.0002229759052011504,-0.0003568685242323205,0.0003568685242323205,-0.00011266776631185804,0.00011266776631185804,-2.8160998018028627e-05,2.8160998018028627e-05,-0.00019774470892519602,0.00019774470892519602,0.00011700617126134127,-0.00011700617126134127
noA4,risk_mara,75,5,5,0.6106664170147742,0.07301271775142505,75,0.6107 +/- 0.0730,0.3079698955539952,0.08980194370132288,75,0.3080 +/- 0.0898,0.27507079560989783,0.035799158219594084,75,0.2751 +/- 0.0358,0.6713159170572571,0.04125473186108926,75,0.6713 +/- 0.0413,0.23855465614500962,0.018732758209829167,75,0.2386 +/- 0.0187,0.16182728022816154,0.03485959737696389,75,0.1618 +/- 0.0349,0.18411991768350852,0.027034631752587072,75,0.1841 +/- 0.0270,0.0015831870096415512,0.0015831870096415512,0.0019136867343585995,0.0019136867343585995,0.00013732488136114496,-0.00013732488136114496,-0.0007253619212665985,0.0007253619212665985,-0.0002475507860067727,0.0002475507860067727,-0.0007832675981708226,0.0007832675981708226,-5.032491425835395e-05,5.032491425835395e-05
noA4,risk_mara_rank_fusion,75,5,5,0.6279548293396855,0.07649873980134066,75,0.6280 +/- 0.0765,0.3167704571838944,0.09189382837638023,75,0.3168 +/- 0.0919,0.037621416188816564,0.024285312684885492,75,0.0376 +/- 0.0243,0.49463787132276443,0.03733181754453597,75,0.4946 +/- 0.0373,0.15958448958910176,0.014884919942005867,75,0.1596 +/- 0.0149,0.15255512908425697,0.03519704958745886,75,0.1526 +/- 0.0352,0.181269522592551,0.027107253234307016,75,0.1813 +/- 0.0271,0.0004687257974416159,0.0004687257974416159,0.0023384330600117464,0.0023384330600117464,-0.001863699612982793,0.001863699612982793,-0.00016733052196959974,0.00016733052196959974,-4.4866105245344734e-05,4.4866105245344734e-05,-0.00010661210339782401,0.00010661210339782401,-0.0007627491372605988,0.0007627491372605988
