method,n,seed_n,dataset_n,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_coverage_auc_mean,risk_coverage_auc_std,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_90_mean,selective_risk_at_90_std,worst_slice_risk_mean,worst_slice_risk_std,coverage_gap_worst_minus_overall_mean,coverage_gap_worst_minus_overall_std,route_group,paper_role,result_source
risk_applicability_domain,680,10,32,0.6352871321059479,0.08176458025816828,0.31708844406930364,0.09789701606410219,0.3326189568252454,0.15516126292775298,2.105490176501253,1.97835087580112,0.3102583446227927,0.13452849629493407,0.14913462950792594,0.048819317922324,0.17186905383244366,0.044598539969976335,0.18532778044747325,0.04225452021691724,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Classic methods,classic-2,rerun_same_protocol
risk_calibrated_ad,680,10,32,0.6344810970685113,0.0828090313574641,0.3164512806543497,0.09897147141958038,0.04525636498941726,0.026992433892377606,0.48507981321545207,0.05597935050165824,0.1552785857817846,0.023212077515102902,0.14936068278824283,0.04880449020407275,0.1722286663926091,0.04427507933061336,0.18552819203643367,0.04198973982554392,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Direct mechanism competitors,direct-2,rerun_same_protocol
risk_calibrated_tanimoto,680,10,32,0.6358851084917917,0.0804722285963139,0.32736020742522776,0.09630402844466054,0.04816725656083786,0.028921433820218514,0.48534914962898373,0.05587607849285139,0.15525700674946377,0.023230302332592056,0.15000920103020848,0.04781160916427735,0.16998521535803154,0.04463346108521082,0.1843859367961862,0.041809604843251566,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Direct mechanism competitors,direct-1,rerun_same_protocol
risk_conformal_uq,680,10,32,0.5822820841244053,0.0614542633083883,0.2613512786025669,0.06667662978891464,0.3381385183922664,0.038355980625889616,2.074847480406587,0.8107176537258252,0.32552588183590414,0.03280834370110081,0.17007066973755325,0.04127936882048793,0.18557830947166604,0.04407199808319401,0.19370826461058657,0.042219916035920284,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Recent same-task OOD/UQ,recent-5,rerun_same_protocol
risk_ensemble_variance,680,10,32,0.5822793761775835,0.06136908033439356,0.2617175890231119,0.06689128600396312,0.33919207669547924,0.08646103272720841,2.1079599063202124,0.914217170413994,0.32898675714697856,0.0656907445336418,0.17006750888972602,0.04129956982851356,0.18559187228676008,0.04408387879785983,0.1934577484876587,0.04216090126871376,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Recent same-task OOD/UQ,recent-3,rerun_same_protocol
risk_isotonic_uq,680,10,32,0.5737995334905818,0.05583587726460909,0.24576593684275364,0.052895463132129415,0.04822207600731824,0.027016879264380338,0.5326028186111671,0.09709572805353699,0.16131017767791014,0.023015569459704007,0.17335666783971826,0.04494044928121249,0.18595438358257982,0.042646005654142505,0.19489598826638607,0.04155680784472481,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Recent same-task OOD/UQ,recent-4,rerun_same_protocol
risk_knn_tanimoto,680,10,32,0.6361120744476476,0.08012293173771037,0.3275774747727125,0.09603334900408023,0.2680609884273633,0.136384847854311,1.075078316266119,0.6380809166987328,0.26282076683023226,0.10696036175000684,0.14988745201974435,0.04769286090426221,0.16988187626138307,0.04457322116815523,0.1843187082829876,0.041788580199148,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Classic methods,classic-1,rerun_same_protocol
risk_mahalanobis,680,10,32,0.4216939309343393,0.08482965214919785,0.18724889223475863,0.06058287623393706,0.27556658515164034,0.07677776250732278,0.9048223003878733,0.214286205845882,0.272897049348671,0.0474884613831608,0.2389590439727442,0.05695828709509295,0.21574092051904786,0.04451899963462225,0.2096754675214918,0.04045232510129248,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Recent same-task OOD/UQ,recent-1,rerun_same_protocol
risk_mara,680,10,32,0.670375620600568,0.0744321494898076,0.34802482959736325,0.08999518304389603,0.05016868350983255,0.028728645168908554,0.4739411229792613,0.05816320829736432,0.15213299122652807,0.02277474048092741,0.13218831460927524,0.04437396011056956,0.16589244434851338,0.04213627864908028,0.18282856312394052,0.04002322110145556,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,main,ours_rerun_same_protocol
risk_mara_ad_guard,680,10,32,0.6378964184754934,0.08358444742850095,0.3182123504293378,0.10139018530998159,0.044848545403249854,0.0258920721207757,0.4837506157218239,0.05684937576209287,0.154840946905959,0.02338004547774587,0.14756358256329724,0.04872408112764266,0.1720328567830569,0.044080790217999974,0.18530588356912117,0.04203279623680411,0.28131556754969,0.09385031018238739,0.07794780483671068,0.07466863005752072,Proposed,ood-guard-variant,ours_rerun_same_protocol
