baseline,metric,n,mean_advantage,median_advantage,win_rate,wilcoxon_greater_p,bootstrap_ci95_low,bootstrap_ci95_high,holm_p_all_tests,holm_significant_0p05
risk_applicability_domain,risk_coverage_auc,680,0.0243526115120301,0.0214471173887904,0.9,1.0242431967911251e-104,0.0228995875348573,0.0257493421466027,1.0652129246627701e-102,True
risk_applicability_domain,risk_ece_10bin,680,0.2821693342960286,0.2512902605888469,0.9941176470588236,3.013809781592372e-113,0.270240126566472,0.2947983241716994,4.038505107333779e-111,True
risk_applicability_domain,selective_risk_at_90,680,0.0046733727013895,0.0054054054054053,0.638235294117647,2.742178354427324e-28,0.0038765656721898,0.0054569250606789,8.500752898724705e-27,True
risk_applicability_domain,failure_auroc,680,0.0535068698074784,0.0495816929133857,0.8970588235294118,2.1704613169239902e-99,0.0502214115271654,0.0568689976718242,2.0402336379085507e-97,True
risk_applicability_domain,failure_auprc,680,0.0495803154225127,0.0447431589106286,0.8720588235294118,3.515127155645861e-88,0.046134195195099,0.0529945330882372,2.8472529960731474e-86,True
risk_applicability_domain,risk_brier,680,0.1587831985298236,0.1130181816793613,0.9926470588235294,3.486542708621898e-113,0.149211571682211,0.1690031606423764,4.5673709482946864e-111,True
risk_applicability_domain,selective_risk_at_80,680,0.0089750545302262,0.0085106382978724,0.6926470588235294,8.627539320708444e-42,0.0078330040300312,0.0100805687044805,3.4366478072534725e-40,True
risk_applicability_domain,risk_nll,680,1.634511897920112,0.8148430527763345,0.9955882352941176,3.1221796521330206e-113,1.489086978847408,1.790288994088944,4.1524989373369176e-111,True
risk_calibrated_ad,risk_coverage_auc,680,0.024578664792347,0.0215200962259998,0.901470588235294,1.0506557386492417e-104,0.023107693934368,0.0259859969970669,1.0821754108087189e-102,True
risk_calibrated_ad,risk_ece_10bin,680,-0.0051932575397995,-0.0033692847758893,0.4117647058823529,0.999999998575692,-0.0066646962105769,-0.0036287882529339,1.0,False
risk_calibrated_ad,selective_risk_at_90,680,0.0048737842903499,0.0054054054054053,0.638235294117647,4.770722804190801e-29,0.0040655901906394,0.0056566122132456,1.5743385253829642e-27,True
risk_calibrated_ad,failure_auroc,680,0.054312904844915,0.0498274219170709,0.8955882352941177,2.691880115423127e-99,0.0508666035198889,0.0577967299437576,2.503448507343508e-97,True
risk_calibrated_ad,failure_auprc,680,0.0502174788374666,0.044874710743923,0.8720588235294118,3.626167417990816e-88,0.0466526991269221,0.0536900705854207,2.9009339343926527e-86,True
risk_calibrated_ad,risk_brier,680,0.0038034396888155,0.0040860692083366,0.8588235294117647,8.715503128402792e-77,0.0034378320025111,0.0041571193448122,5.926542127313899e-75,True
risk_calibrated_ad,selective_risk_at_80,680,0.0093346670903916,0.0085215307530317,0.6926470588235294,3.765870912672435e-42,0.0081540899025492,0.0104954366651092,1.5816657833224227e-40,True
risk_calibrated_ad,risk_nll,680,0.0141015346343112,0.0153654382638147,0.8602941176470589,3.669329657077999e-82,0.0130066296624684,0.0151555463575268,2.6419173530961593e-80,True
risk_calibrated_tanimoto,risk_coverage_auc,680,0.0252271830343126,0.0257361563409367,0.9044117647058824,5.326833846366546e-100,0.0237260508966762,0.0267153310956591,5.113760492511884e-98,True
risk_calibrated_tanimoto,risk_ece_10bin,680,-0.0022823659683789,-0.0035724587663776,0.4294117647058823,0.9998438272654062,-0.0038407747262081,-0.000702370109839,1.0,False
risk_calibrated_tanimoto,selective_risk_at_90,680,0.0037315290501024,0.0040473574717748,0.5941176470588235,3.1230370415700245e-19,0.002919267666199,0.0045261430304869,7.182985195611057e-18,True
risk_calibrated_tanimoto,failure_auroc,680,0.0529088934216345,0.0530502099291545,0.8823529411764706,1.0323963829151068e-91,0.0494634406280449,0.0562899415824548,8.672129616486897e-90,True
risk_calibrated_tanimoto,failure_auprc,680,0.0393085520665885,0.0381299441681659,0.8411764705882353,8.911081374278359e-69,0.0355649768951642,0.0426275745337435,5.435759638309799e-67,True
risk_calibrated_tanimoto,risk_brier,680,0.0037818606564946,0.0042255150495245,0.8176470588235294,1.3085761155482172e-73,0.0034423051968445,0.0040959129262607,8.37488713950859e-72,True
risk_calibrated_tanimoto,selective_risk_at_80,680,0.007091216055814,0.007424759148897,0.6544117647058824,5.299062894233162e-31,0.0060040132385958,0.0081871298468387,1.96065327086627e-29,True
risk_calibrated_tanimoto,risk_nll,680,0.014370871047843,0.0166083607083884,0.8441176470588235,2.905315732339393e-83,0.0133129041180387,0.0153722957854654,2.120880484607757e-81,True
