method,n,seed_n,dataset_n,risk_coverage_auc_5_100_mean,risk_coverage_auc_5_100_std,error_at_95coverage_mean,error_at_95coverage_std,mae_at_95coverage_mean,mae_at_95coverage_std,rmse_at_95coverage_mean,rmse_at_95coverage_std,error_at_90coverage_mean,error_at_90coverage_std,mae_at_90coverage_mean,mae_at_90coverage_std,rmse_at_90coverage_mean,rmse_at_90coverage_std,error_at_80coverage_mean,error_at_80coverage_std,mae_at_80coverage_mean,mae_at_80coverage_std,rmse_at_80coverage_mean,rmse_at_80coverage_std,error_at_70coverage_mean,error_at_70coverage_std,mae_at_70coverage_mean,mae_at_70coverage_std,rmse_at_70coverage_mean,rmse_at_70coverage_std,failure_capture_at_top5risk_mean,failure_capture_at_top5risk_std,rejected_failure_rate_top5risk_mean,rejected_failure_rate_top5risk_std,failure_capture_at_top10risk_mean,failure_capture_at_top10risk_std,rejected_failure_rate_top10risk_mean,rejected_failure_rate_top10risk_std,failure_capture_at_top20risk_mean,failure_capture_at_top20risk_std,rejected_failure_rate_top20risk_mean,rejected_failure_rate_top20risk_std,failure_capture_at_top30risk_mean,failure_capture_at_top30risk_std,rejected_failure_rate_top30risk_mean,rejected_failure_rate_top30risk_std
risk_applicability_domain,680,10,32,0.14646770280761284,0.04840830033351485,0.19260838943408545,0.04121333943742834,0.631663869935647,0.17470690559089408,0.8169114983953378,0.20347148323671002,0.18532778044747328,0.04225452021691724,0.62104982207622,0.17821280807134193,0.8028695619260572,0.20804969839500426,0.17186905383244366,0.04459853996997633,0.6025612368827711,0.18376241599772486,0.7768438016085645,0.21766123905294785,0.1610921685655837,0.04965459847375256,0.5875000602311119,0.18850490469873588,0.7574264182385826,0.22467011483977736,0.10397050290212967,0.05139284837167849,0.4070043026414911,0.18178648657064914,0.18366003535360562,0.0674700080270049,0.3656614970892239,0.13074073994839772,0.3276625176616221,0.09785674889162124,0.32934071731267545,0.10468897760883601,0.45053653348893324,0.11436603557891893,0.30190903420887505,0.08529951085181403
risk_calibrated_ad,680,10,32,0.14672685339176433,0.04838277580218208,0.19279682085202177,0.040934641111845776,0.6320218704856002,0.17470037661597698,0.8174493664741319,0.2034365183893051,0.18552819203643373,0.04198973982554392,0.6213937943294803,0.17824282677596426,0.8033963891417851,0.20801320416699265,0.1722286663926091,0.04427507933061336,0.6029783119935679,0.18391497031213136,0.7774873985081044,0.21785911521831472,0.16134482146299994,0.04956127794554213,0.5877676694010089,0.18877786233749544,0.7577827759773641,0.22503171949001954,0.1025938676125629,0.052924369854547605,0.40338262741168446,0.187390079784917,0.18227528867465148,0.06888857188107039,0.3638353247048105,0.1337086571666222,0.32550265100909587,0.10007328043204501,0.32790709986997607,0.10709835931357502,0.44928606718806835,0.11573686750163155,0.3013183729788566,0.08629633459523747
risk_calibrated_tanimoto,680,10,32,0.14808317067279275,0.047785848980792744,0.19126185927993794,0.04063116316635236,0.6291408319282974,0.1736613997949147,0.8130971766547339,0.20244251019523107,0.18438593679618623,0.041809604843251566,0.6181126656461396,0.17614750307371171,0.7979218448557173,0.2060920651226541,0.16998521535803154,0.04463346108521082,0.5989877186756257,0.1815101046061445,0.7717411857945651,0.21403516095460845,0.1587090471704945,0.04675042089884347,0.5833638251060297,0.18414942276680749,0.7512040582204563,0.21885382654886873,0.1097146044536275,0.047752100643508065,0.43182146813786265,0.18374836601676403,0.18691263235176897,0.0672582022305493,0.3732493338572498,0.12935286592375328,0.3349208652948806,0.09796387846732561,0.3369324431326981,0.10607445939638904,0.4576109273090638,0.1072694132095411,0.30740564374255414,0.08447829066309971
risk_conformal_uq,680,10,32,0.16856285998060241,0.0416793499032283,0.19862228788460387,0.04124223385277671,0.6401808390006726,0.17160205328008216,0.8295202245632611,0.1982032527064593,0.19370826461058663,0.042219916035920284,0.6327469666545745,0.17375257817219733,0.8196122595796788,0.2010341978063846,0.18557830947166606,0.044071998083194,0.6218518251849919,0.17822370847942814,0.8055681155657465,0.20781441202826745,0.17702631260554405,0.04430414984852332,0.6097406217664388,0.1808976292443362,0.7903906185295239,0.21282734551796878,0.07529333982024518,0.046261374441501926,0.29333596766511516,0.16017544153246274,0.14616594092994006,0.06004467924569116,0.29107951019905454,0.11712664499297287,0.2730101911190722,0.08542900854180609,0.27447061616878626,0.08839205422636022,0.3937534753633337,0.09110067811042066,0.26493108268354176,0.07268861104843037
risk_ensemble_variance,680,10,32,0.16853877426646435,0.041685752800978464,0.19850001567335968,0.041336378587064716,0.640193784956661,0.17173298105218016,0.8295747140010168,0.1983362917685429,0.1934577484876588,0.04216090126871375,0.6324184146350094,0.17371117174884115,0.8191384761386793,0.20096716314841498,0.1855918722867601,0.04408387879785982,0.6218430605902125,0.178218052087561,0.8054650970666474,0.20780640143740292,0.17704619546332134,0.04442691978181741,0.6097751558749722,0.18094176579319096,0.7907252171058329,0.21305109827030694,0.07596592565613189,0.04635152693423766,0.29563338711141957,0.16000205144301827,0.1468567269142303,0.060148769131400895,0.2925965277063283,0.11760404735833521,0.27295206041656406,0.0853810026767038,0.2744197475173863,0.08849483625941199,0.3937512830786761,0.09200674031912641,0.2649109073394099,0.07303654586395898
risk_isotonic_uq,680,10,32,0.1715826919096781,0.0447410406416203,0.19908931689552486,0.04066766375642895,0.6406262310226257,0.17092124965037522,0.8305066459272856,0.1972187955777562,0.19489598826638613,0.04155680784472481,0.6343002657290556,0.1728422222449464,0.8222327756566334,0.2002468121144737,0.18595438358257987,0.042646005654142505,0.6224724960468081,0.17780208370642228,0.8069523067604181,0.20725579119447962,0.17948621651354188,0.044171429958049,0.6120701482761988,0.18115000432668193,0.7938407376560384,0.21354485389230443,0.07289042860839394,0.03929316717642897,0.2840717187775111,0.13682101114438197,0.14063932618102448,0.05408726947866276,0.2803349128716898,0.10240678160075453,0.27219046063979196,0.0729294669134599,0.2730745242407039,0.07617586529192315,0.3860891365249812,0.08096127749667265,0.25907995075468226,0.06419413176278999
risk_knn_tanimoto,680,10,32,0.1479612202629157,0.04766296244897537,0.1912315643657053,0.040621660834933834,0.629037299851497,0.17339142146601372,0.8130174086606865,0.20223341953203902,0.18431870828298763,0.04178858019914801,0.61794177820481,0.17570765408888875,0.797777812326189,0.20572679711315556,0.1698818762613831,0.04457322116815523,0.5988278037732234,0.1811106415939584,0.7715972949149067,0.21369151156701852,0.1586183713469578,0.04667981374843836,0.5832891328589666,0.183958164281254,0.7511154423941407,0.21863600337755035,0.10985562712009746,0.04760291748101232,0.43239470046109496,0.18314629427335305,0.18721807086043968,0.06690644515164502,0.37385530488887847,0.12862439246228433,0.3353386738530393,0.09744072244370316,0.33734529539341196,0.10558340236004854,0.45793468305361706,0.10681361050219032,0.3076171618551184,0.08421554765031972
risk_mahalanobis,680,10,32,0.2420666804951342,0.058882178191559456,0.20598069671942976,0.03895223033165838,0.6517207198419185,0.17108048064845605,0.8435500524797858,0.19736707955500263,0.20967546752149188,0.04045232510129248,0.6573309233188502,0.17156092868864747,0.849734567197067,0.19800236368820479,0.2157409205190479,0.044518999634622226,0.6674787459236311,0.1750517450491593,0.8607368111942846,0.20230105288599562,0.2236615030599244,0.04728908215956022,0.6781161846826982,0.17577534839958778,0.8733173254123232,0.20338628111761273,0.03763402930634954,0.027101711444599535,0.1538676020495288,0.11299274510052815,0.0717848682544236,0.044475325898446445,0.14717685608061845,0.09649236842241433,0.15130636958298838,0.07865978128081495,0.1536247207170994,0.0819814140343687,0.22999428076743267,0.0878894780444043,0.15616520301166106,0.06757074467852854
risk_mara,680,10,32,0.1284444745934054,0.044007027191458,0.19192542949522032,0.03759525456882969,0.6299093375588486,0.1725017658775524,0.8148857779477804,0.20110989712439872,0.18282856312394055,0.04002322110145556,0.6168953468799497,0.17551209526286632,0.7970060973286823,0.205307358561215,0.1658924443485134,0.042136278649080275,0.5932126566845884,0.18180747220429555,0.7657616169767413,0.2149628369870106,0.1524906993361346,0.046112382838340966,0.5742717924466294,0.1870336309193009,0.7429756262119943,0.22210040408588064,0.10458405262778532,0.04046957000390186,0.41949077766002363,0.1580456454980176,0.19433217901670696,0.06018645299871947,0.38803059149069824,0.11450414262723518,0.35107302778663285,0.08899884961858591,0.35341666405533023,0.09881087734257193,0.4800884773080621,0.10402442074215133,0.32189640715061624,0.08084145350358439
risk_mara_isotonic,680,10,32,0.13060918094521703,0.04383672362105456,0.19234717572394444,0.038808947435136534,0.6310524795671006,0.17262190627196144,0.8170827971075434,0.2010708279592346,0.18353482677768587,0.03931184621293245,0.6177976316676763,0.17419996814537042,0.7986333679667499,0.20353901269455685,0.1686288439678441,0.041403566744994735,0.5964671540960499,0.18109491412223108,0.7701842103310368,0.21354056489290982,0.15343729112636356,0.04548995396499768,0.575457070688818,0.1858311852664068,0.7444630946904524,0.21934368518203293,0.1037236806834193,0.04151622855231237,0.4114231123983434,0.15141335833956704,0.1903926778699238,0.05503079304114376,0.38163528076765674,0.11188211393393943,0.34047844817463924,0.07819963812720658,0.34252128203100396,0.08858547073622378,0.4775009238808052,0.09648634747561999,0.3196834886873459,0.07409023516756505
