dataset,condition,protocol,best_mara,best_external_baseline,mara_selection,external_selection,paired_seed_n,auroc_mara,auroc_external,paired_delta_mean,wilcoxon_p,inference_status,verdict_at_0.002
ACSIncome,clean,state_shift,mara_nonnegative,max_softmax_risk,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7606 &plusmn; 0.0016,0.7606 &plusmn; 0.0016,1.5338756024396716e-05,,not computed because the external comparator is selected by test-set mean,tie
ACSIncome,clean,state_time_compound,mara_nonnegative,predictive_entropy,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7806 &plusmn; 0.0005,0.7806 &plusmn; 0.0005,-4.436751731202726e-05,,not computed because the external comparator is selected by test-set mean,tie
ACSIncome,clean,temporal_shift,mara_nonnegative,predictive_entropy,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7719 &plusmn; 0.0011,0.7723 &plusmn; 0.0012,-0.000406528445542409,,not computed because the external comparator is selected by test-set mean,tie
ACSIncome,noise,state_shift,mara_nonnegative,predictive_entropy,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7337 &plusmn; 0.0047,0.7337 &plusmn; 0.0048,1.2825407387162534e-05,,not computed because the external comparator is selected by test-set mean,tie
ACSIncome,noise,state_time_compound,mara_nonnegative,max_softmax_risk,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7533 &plusmn; 0.0054,0.7533 &plusmn; 0.0054,1.6355278598245705e-05,,not computed because the external comparator is selected by test-set mean,tie
ACSIncome,noise,temporal_shift,mara_nonnegative,max_softmax_risk,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7368 &plusmn; 0.0025,0.7367 &plusmn; 0.0024,9.644938285962024e-05,,not computed because the external comparator is selected by test-set mean,tie
OGBN-Arxiv,clean,official_temporal,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7551 &plusmn; 0.0012,0.7624 &plusmn; 0.0018,-0.007380456496286758,,not computed because the external comparator is selected by test-set mean,lag
OGBN-Arxiv,clean,structural_group_ood,mara_nonnegative,max_softmax_risk,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7557 &plusmn; 0.0123,0.7713 &plusmn; 0.0111,-0.01556488500186166,,not computed because the external comparator is selected by test-set mean,lag
OGBN-Arxiv,noise,official_temporal,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7586 &plusmn; 0.0022,0.7670 &plusmn; 0.0024,-0.008448037141867659,,not computed because the external comparator is selected by test-set mean,lag
OGBN-Arxiv,noise,structural_group_ood,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7524 &plusmn; 0.0198,0.7687 &plusmn; 0.0120,-0.016298661845501418,,not computed because the external comparator is selected by test-set mean,lag
